gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,neg_log10_padj
DDX27,33.6131115108913,0.7781612168333589,0.09035083614752304,8.612662040700906,7.138329548422417e-18,6.3412160821819136e-15,14.197827447617275
MEOX2,2.2784974117994548,-2.3698152918579187,0.2760492103827163,-8.584756640210607,9.10289183992415e-18,7.508028472907062e-15,14.124474089060417
TNFRSF13C,4.0249747150221005,-2.920255782254113,0.3403095555836376,-8.58117479906145,9.390904906700515e-18,7.508028472907062e-15,14.124474089060417
EBF1,3.6395852663925683,-1.597604003441613,0.186562175959746,-8.563386416474494,1.0959983677157972e-17,8.263591447788472e-15,14.082831162490018
TH1L,44.84297222323097,1.0393229631155945,0.12142818729511551,8.55915736096475,1.1369544205837796e-17,8.263591447788472e-15,14.082831162490018
AL133111,5.73920138748596,-0.8688379898532366,0.10182965034464322,-8.532269205606106,1.4350464062670648e-17,9.976692189656681e-15,14.001013426839089
VPREB3,11.353561340118441,-3.3666161296065726,0.39594048267507226,-8.502833827096632,1.850176603201701e-17,1.2326801618831334e-14,13.909149593272959
OLFML1,5.528375455535486,-1.187402625773884,0.13991008629586513,-8.486897958613982,2.122259634240156e-17,1.3052618708305302e-14,13.884302348366049
YTHDF1,27.61302770899766,0.6869812965241668,0.08094616200142282,8.486891528125714,2.1223770257406995e-17,1.3052618708305302e-14,13.884302348366049
AK097351,4.778650001866832,-1.8170619925150147,0.21469271403141407,-8.463547543812503,2.5936460650273703e-17,1.5360148362884314e-14,13.813604589456148
MOB3A,24.962532199206056,-1.0011736148983101,0.11837522176198197,-8.457628209655041,2.7287046476747085e-17,1.5582852612970923e-14,13.807353036992685
SEPTIN6,9.696966704840126,-1.4387485756943637,0.17023686811604843,-8.45145115518447,2.877041866864347e-17,1.586341360384859e-14,13.799603352340302
PIGU,22.386033166763347,0.8066597651538889,0.09624957408416968,8.380917763318825,5.2516584755579257e-17,2.7991339674723743e-14,13.55297631555967
PRC1,15.706191299971417,1.1728866250584884,0.14080497144223092,8.329866573920633,8.093351685294501e-17,4.174603014447067e-14,13.379384817625267
CPXM1,11.314551281438005,-1.669589866521367,0.2006065973977994,-8.322706671558759,8.597702987291081e-17,4.296164711462012e-14,13.36691907649198
SRPX,10.13775523745928,-1.8665274503861105,0.22496707057081175,-8.296891832436398,1.0687060209738506e-16,5.1783664470823854e-14,13.285807219966292
WIPF1,14.28848492399072,-1.0175276007410423,0.1234957708216024,-8.239372036560884,1.7311685128801495e-16,8.14158368263341e-14,13.089291108903025
TCF4,4.719748639733532,-0.9340671350375898,0.11365871599170436,-8.218174267477778,2.0662457250530931e-16,9.439791183885416e-14,13.025037612554614
NOTUM,20.563309428129944,4.452428226804703,0.5440309101315961,8.184145687103884,2.7424214808006407e-16,1.2180922077222846e-13,12.914319835028879
